iter	Passed	Remaining
438	1175	1502
439	1177	1498
440	1179	1495
441	1181	1491
442	1182	1487
443	1184	1482
444	1185	1478
445	1186	1473
446	1187	1469
447	1188	1464
448	1190	1460
449	1191	1455
450	1192	1451
451	1194	1448
452	1196	1444
453	1197	1440
454	1198	1436
455	1200	1431
456	1201	1427
457	1202	1423
458	1203	1418
459	1204	1414
460	1206	1410
461	1208	1406
462	1210	1404
463	1211	1400
464	1213	1396
465	1215	1392
466	1216	1388
467	1217	1384
468	1218	1379
469	1219	1375
470	1221	1371
471	1222	1367
472	1224	1364
473	1226	1360
474	1227	1356
475	1229	1352
476	1230	1348
477	1231	1344
478	1232	1340
479	1233	1336
480	1234	1332
481	1236	1328
482	1237	1324
483	1239	1321
484	1240	1317
485	1242	1313
486	1243	1309
487	1244	1305
488	1245	1301
489	1246	1297
490	1247	1293
491	1249	1289
492	1250	1286
493	1252	1282
494	1254	1280
495	1256	1276
496	1257	1272
497	1259	1269
498	1260	1265
499	1261	1261
500	1262	1257
501	1264	1254
502	1265	1250
503	1266	1246
504	1269	1244
505	1271	1241
506	1272	1237
507	1274	1233
508	1275	1230
509	1276	1226
510	1277	1222
511	1278	1218
512	1279	1214
513	1280	1211
514	1282	1207
515	1285	1205
516	1286	1201
517	1287	1198
518	1288	1194
519	1290	1190
520	1291	1187
521	1292	1183
522	1293	1179
523	1294	1176
524	1295	1172
525	1296	1168
526	1298	1165
527	1300	1162
528	1301	1159
529	1303	1156
530	1305	1152
531	1306	1149
532	1307	1145
533	1308	1142
534	1309	1138
535	1310	1134
536	1312	1131
537	1314	1128
538	1315	1125
539	1316	1121
540	1318	1118
541	1319	1114
542	1320	1111
543	1321	1107
544	1322	1104
545	1323	1100
546	1325	1097
547	1326	1093
548	1327	1090
549	1330	1088
550	1331	1084
551	1332	1081
552	1333	1078
553	1334	1074
554	1336	1071
555	1337	1067
556	1338	1064
557	1339	1061
558	1340	1057
559	1341	1054
560	1345	1052
561	1346	1049
562	1347	1046
563	1348	1042
564	1350	1039
565	1351	1036
566	1352	1032
567	1353	1029
568	1354	1026
569	1355	1022
570	1356	1019
571	1359	1017
572	1361	1014
573	1362	1010
574	1363	1007
575	1364	1004
576	1366	1001
577	1367	998
578	1368	995
579	1370	992
580	1371	989
581	1372	985
582	1375	983
583	1377	980
584	1378	978
585	1380	975
586	1381	972
587	1383	969
588	1384	966
589	1385	962
590	1387	960
591	1390	958
592	1391	955
593	1393	952
594	1395	949
595	1396	946
596	1398	943
597	1400	941
598	1401	938
599	1402	935
600	1405	933
601	1407	930
602	1408	927
603	1410	924
604	1411	921
605	1414	919
606	1415	916
607	1417	913
608	1420	911
609	1422	909
610	1424	907
611	1426	904
612	1428	901
613	1429	898
614	1430	895
615	1431	892
616	1434	890
617	1436	888
618	1438	885
619	1440	882
620	1441	879
621	1442	876
622	1444	873
623	1445	871
624	1446	868
625	1449	866
626	1451	863
627	1453	861
628	1455	858
629	1456	855
630	1457	852
631	1459	849
632	1460	846
633	1461	843
634	1464	841
635	1466	839
636	1468	836
637	1469	833
638	1471	831
639	1472	828
640	1474	825
641	1475	822
642	1476	819
643	1478	817
644	1481	815
645	1483	813
646	1485	810
647	1486	807
648	1488	805
649	1490	802
650	1491	799
651	1493	797
652	1496	795
653	1499	793
654	1500	790
655	1502	787
656	1503	784
657	1504	782
658	1506	779
659	1507	776
660	1508	773
661	1510	771
662	1512	768
663	1513	765
664	1514	762
665	1515	760
666	1517	757
