iter	Passed	Remaining
467	725	824
468	726	822
469	728	821
470	729	819
471	730	817
472	731	815
473	732	813
474	734	811
475	735	809
476	736	807
477	737	805
478	738	803
479	740	801
480	741	799
481	742	798
482	743	796
483	744	794
484	746	792
485	747	790
486	748	788
487	749	786
488	751	784
489	752	782
490	753	781
491	754	779
492	755	777
493	757	775
494	758	773
495	759	771
496	761	770
497	762	768
498	763	766
499	764	764
500	766	762
501	767	761
502	768	759
503	769	757
504	770	755
505	772	753
506	773	751
507	774	750
508	775	748
509	776	746
510	778	744
511	779	742
512	780	741
513	781	739
514	783	737
515	784	735
516	785	733
517	786	732
518	787	730
519	789	728
520	790	726
521	791	724
522	792	722
523	793	721
524	795	719
525	796	717
526	797	715
527	798	713
528	799	712
529	801	710
530	802	708
531	803	706
532	804	705
533	805	703
534	807	701
535	808	699
536	810	698
537	811	696
538	812	694
539	813	693
540	815	691
541	816	689
542	817	687
543	818	686
544	819	684
545	820	682
546	822	680
547	823	679
548	824	677
549	825	675
550	827	673
551	828	672
552	829	670
553	830	668
554	831	667
555	833	665
556	834	663
557	835	661
558	836	660
559	838	658
560	839	656
561	840	654
562	841	653
563	842	651
564	844	649
565	845	648
566	846	646
567	847	644
568	849	643
569	850	641
570	851	639
571	852	637
572	853	636
573	855	634
574	856	632
575	857	631
576	858	629
577	860	627
578	861	626
579	862	624
580	863	622
581	864	621
582	866	619
583	867	617
584	868	616
585	869	614
586	871	612
587	872	611
588	873	609
589	874	607
590	875	606
591	877	604
592	878	602
593	879	601
594	880	599
595	882	597
596	883	596
597	884	594
598	885	592
599	886	591
600	888	589
601	889	587
602	890	586
603	891	584
604	892	582
605	894	581
606	895	579
607	896	577
608	897	576
609	898	574
610	900	573
611	901	571
612	902	569
613	903	568
614	904	566
615	905	564
616	907	563
617	908	561
618	909	559
619	910	558
620	912	556
621	913	555
622	914	553
623	915	551
624	916	550
625	918	548
626	919	546
627	920	545
628	921	543
629	922	541
630	923	540
631	924	538
632	926	536
633	927	535
634	928	533
635	929	532
636	931	530
637	932	528
638	933	527
639	934	525
640	935	524
641	937	522
642	938	520
643	939	519
644	940	517
645	941	516
646	943	514
647	944	512
648	945	511
649	946	509
650	947	508
651	948	506
652	950	504
653	951	503
654	952	501
655	954	500
656	955	498
657	956	497
658	957	495
659	958	493
660	960	492
661	961	490
662	962	489
663	963	487
664	965	486
665	966	484
666	967	482
667	968	481
668	969	479
669	971	478
670	972	476
671	973	475
672	974	473
673	975	471
674	976	470
675	978	468
676	979	467
677	980	465
678	982	464
679	983	462
680	984	461
681	985	459
682	987	458
683	988	456
684	989	454
685	990	453
686	991	451
687	993	450
688	994	448
689	995	447
690	996	445
691	997	444
692	999	442
693	1000	441
694	1001	439
695	1002	437
696	1003	436
697	1004	434
698	1006	433
699	1007	431
700	1008	430
701	1009	428
702	1011	427
703	1012	425
704	1013	424
705	1014	422
706	1015	420
707	1016	419
708	1017	417
709	1019	416
710	1020	414
711	1021	413
712	1022	411
713	1023	410
714	1025	408
715	1026	407
716	1027	405
717	1028	404
718	1030	402
719	1031	401
720	1032	399
721	1033	398
722	1034	396
723	1036	394
724	1037	393
725	1038	391
726	1039	390
727	1041	388
728	1042	387
729	1043	385
730	1044	384
731	1045	382
732	1047	381
733	1048	379
734	1050	378
735	1051	377
736	1053	375
737	1054	374
738	1055	372
739	1056	371
740	1057	369
741	1059	368
742	1060	366
743	1061	365
744	1062	363
745	1063	362
746	1065	360
747	1066	359
748	1067	357
749	1068	356
750	1069	354
751	1071	353
752	1072	351
753	1073	350
754	1074	348
755	1075	347
756	1077	345
757	1078	344
758	1079	342
759	1080	341
760	1082	339
761	1083	338
762	1084	336
763	1085	335
764	1086	333
765	1087	332
766	1089	330
767	1090	329
768	1091	327
769	1092	326
770	1093	324
771	1095	323
772	1096	321
773	1097	320
774	1098	318
775	1099	317
776	1101	315
777	1102	314
778	1103	313
779	1104	311
780	1105	310
781	1107	308
782	1108	307
783	1109	305
784	1110	304
785	1111	302
786	1112	301
787	1114	299
788	1115	298
789	1116	296
790	1117	295
791	1119	293
792	1120	292
793	1121	290
794	1122	289
795	1123	288
796	1125	286
797	1126	285
798	1127	283
799	1128	282
800	1129	280
801	1131	279
802	1132	277
803	1133	276
804	1135	274
805	1136	273
806	1137	272
807	1138	270
808	1139	269
809	1141	267
810	1142	266
811	1143	264
812	1144	263
813	1145	261
814	1147	260
815	1148	258
816	1149	257
817	1150	255
818	1151	254
819	1152	253
820	1153	251
821	1155	250
822	1156	248
823	1157	247
824	1158	245
825	1159	244
826	1161	242
827	1162	241
828	1163	240
829	1165	238
830	1166	237
831	1167	235
832	1168	234
833	1169	232
834	1171	231
835	1172	229
836	1173	228
837	1174	227
838	1175	225
839	1177	224
840	1178	222
841	1179	221
842	1181	219
843	1182	218
844	1183	217
845	1184	215
846	1185	214
847	1186	212
848	1188	211
849	1189	209
850	1190	208
851	1191	207
852	1192	205
853	1194	204
854	1195	202
855	1196	201
856	1197	199
857	1198	198
858	1200	196
859	1201	195
860	1202	194
861	1203	192
862	1204	191
863	1206	189
864	1207	188
865	1208	186
866	1209	185
867	1210	184
868	1212	182
869	1213	181
870	1214	179
871	1215	178
872	1217	177
873	1218	175
874	1219	174
875	1220	172
876	1221	171
877	1223	169
878	1224	168
879	1225	167
880	1226	165
881	1227	164
882	1229	162
883	1230	161
884	1231	160
885	1232	158
886	1234	157
887	1235	155
888	1236	154
889	1237	152
890	1239	151
891	1240	150
892	1241	148
893	1242	147
894	1243	145
895	1244	144
